ClockLab,,,,
C2-141-1,,,,
15-Jun-2017,00:00,,,,
Day,Hr,Min,Cnts/min,Lights
1,0,0,NaN,NaN
1,0,1,NaN,NaN
1,0,2,NaN,NaN
1,0,3,NaN,NaN
1,0,4,NaN,NaN
1,0,5,NaN,NaN
1,0,6,NaN,NaN
1,0,7,NaN,NaN
1,0,8,NaN,NaN
1,0,9,NaN,NaN
1,0,10,NaN,NaN
1,0,11,NaN,NaN
1,0,12,NaN,NaN
1,0,13,NaN,NaN
1,0,14,NaN,NaN
1,0,15,NaN,NaN
1,0,16,NaN,NaN
1,0,17,NaN,NaN
1,0,18,NaN,NaN
1,0,19,NaN,NaN
1,0,20,NaN,NaN
1,0,21,NaN,NaN
1,0,22,NaN,NaN
1,0,23,NaN,NaN
1,0,24,NaN,NaN
1,0,25,NaN,NaN
1,0,26,NaN,NaN
1,0,27,NaN,NaN
1,0,28,NaN,NaN
1,0,29,NaN,NaN
1,0,30,NaN,NaN
1,0,31,NaN,NaN
1,0,32,NaN,NaN
1,0,33,NaN,NaN
1,0,34,NaN,NaN
1,0,35,NaN,NaN
1,0,36,NaN,NaN
1,0,37,NaN,NaN
1,0,38,NaN,NaN
1,0,39,NaN,NaN
1,0,40,NaN,NaN
1,0,41,NaN,NaN
1,0,42,NaN,NaN
1,0,43,NaN,NaN
1,0,44,NaN,NaN
1,0,45,NaN,NaN
1,0,46,NaN,NaN
1,0,47,NaN,NaN
1,0,48,NaN,NaN
1,0,49,NaN,NaN
1,0,50,NaN,NaN
1,0,51,NaN,NaN
1,0,52,NaN,NaN
1,0,53,NaN,NaN
1,0,54,NaN,NaN
1,0,55,NaN,NaN
1,0,56,NaN,NaN
1,0,57,NaN,NaN
1,0,58,NaN,NaN
1,0,59,NaN,NaN
1,1,0,NaN,NaN
1,1,1,NaN,NaN
1,1,2,NaN,NaN
1,1,3,NaN,NaN
1,1,4,NaN,NaN
1,1,5,NaN,NaN
1,1,6,NaN,NaN
1,1,7,NaN,NaN
1,1,8,NaN,NaN
1,1,9,NaN,NaN
1,1,10,NaN,NaN
1,1,11,NaN,NaN
1,1,12,NaN,NaN
1,1,13,NaN,NaN
1,1,14,NaN,NaN
1,1,15,NaN,NaN
1,1,16,NaN,NaN
1,1,17,NaN,NaN
1,1,18,NaN,NaN
1,1,19,NaN,NaN
1,1,20,NaN,NaN
1,1,21,NaN,NaN
1,1,22,NaN,NaN
1,1,23,NaN,NaN
1,1,24,NaN,NaN
1,1,25,NaN,NaN
1,1,26,NaN,NaN
1,1,27,NaN,NaN
1,1,28,NaN,NaN
1,1,29,NaN,NaN
1,1,30,NaN,NaN
1,1,31,NaN,NaN
1,1,32,NaN,NaN
1,1,33,NaN,NaN
1,1,34,NaN,NaN
1,1,35,NaN,NaN
1,1,36,NaN,NaN
1,1,37,NaN,NaN
1,1,38,NaN,NaN
1,1,39,NaN,NaN
1,1,40,NaN,NaN
1,1,41,NaN,NaN
1,1,42,NaN,NaN
1,1,43,NaN,NaN
1,1,44,NaN,NaN
1,1,45,NaN,NaN
1,1,46,NaN,NaN
1,1,47,NaN,NaN
1,1,48,NaN,NaN
1,1,49,NaN,NaN
1,1,50,NaN,NaN
1,1,51,NaN,NaN
1,1,52,NaN,NaN
1,1,53,NaN,NaN
1,1,54,NaN,NaN
1,1,55,NaN,NaN
1,1,56,NaN,NaN
1,1,57,NaN,NaN
1,1,58,NaN,NaN
1,1,59,NaN,NaN
1,2,0,NaN,NaN
1,2,1,NaN,NaN
1,2,2,NaN,NaN
1,2,3,NaN,NaN
1,2,4,NaN,NaN
1,2,5,NaN,NaN
1,2,6,NaN,NaN
1,2,7,NaN,NaN
1,2,8,NaN,NaN
1,2,9,NaN,NaN
1,2,10,NaN,NaN
1,2,11,NaN,NaN
1,2,12,NaN,NaN
1,2,13,NaN,NaN
1,2,14,NaN,NaN
1,2,15,NaN,NaN
1,2,16,NaN,NaN
1,2,17,NaN,NaN
1,2,18,NaN,NaN
1,2,19,NaN,NaN
1,2,20,NaN,NaN
1,2,21,NaN,NaN
1,2,22,NaN,NaN
1,2,23,NaN,NaN
1,2,24,NaN,NaN
1,2,25,NaN,NaN
1,2,26,NaN,NaN
1,2,27,NaN,NaN
1,2,28,NaN,NaN
1,2,29,NaN,NaN
1,2,30,NaN,NaN
1,2,31,NaN,NaN
1,2,32,NaN,NaN
1,2,33,NaN,NaN
1,2,34,NaN,NaN
1,2,35,NaN,NaN
1,2,36,NaN,NaN
1,2,37,NaN,NaN
1,2,38,NaN,NaN
1,2,39,NaN,NaN
1,2,40,NaN,NaN
1,2,41,NaN,NaN
1,2,42,NaN,NaN
1,2,43,NaN,NaN
1,2,44,NaN,NaN
1,2,45,NaN,NaN
1,2,46,NaN,NaN
1,2,47,NaN,NaN
1,2,48,NaN,NaN
1,2,49,NaN,NaN
1,2,50,NaN,NaN
1,2,51,NaN,NaN
1,2,52,NaN,NaN
1,2,53,NaN,NaN
1,2,54,NaN,NaN
1,2,55,NaN,NaN
1,2,56,NaN,NaN
1,2,57,NaN,NaN
1,2,58,NaN,NaN
1,2,59,NaN,NaN
1,3,0,NaN,NaN
1,3,1,NaN,NaN
1,3,2,NaN,NaN
1,3,3,NaN,NaN
1,3,4,NaN,NaN
1,3,5,NaN,NaN
1,3,6,NaN,NaN
1,3,7,NaN,NaN
1,3,8,NaN,NaN
1,3,9,NaN,NaN
1,3,10,NaN,NaN
1,3,11,NaN,NaN
1,3,12,NaN,NaN
1,3,13,NaN,NaN
1,3,14,NaN,NaN
1,3,15,NaN,NaN
1,3,16,NaN,NaN
1,3,17,NaN,NaN
1,3,18,NaN,NaN
1,3,19,NaN,NaN
1,3,20,NaN,NaN
1,3,21,NaN,NaN
1,3,22,NaN,NaN
1,3,23,NaN,NaN
1,3,24,NaN,NaN
1,3,25,NaN,NaN
1,3,26,NaN,NaN
1,3,27,NaN,NaN
1,3,28,NaN,NaN
1,3,29,NaN,NaN
1,3,30,NaN,NaN
1,3,31,NaN,NaN
1,3,32,NaN,NaN
1,3,33,NaN,NaN
1,3,34,NaN,NaN
1,3,35,NaN,NaN
1,3,36,NaN,NaN
1,3,37,NaN,NaN
1,3,38,NaN,NaN
1,3,39,NaN,NaN
1,3,40,NaN,NaN
1,3,41,NaN,NaN
1,3,42,NaN,NaN
1,3,43,NaN,NaN
1,3,44,NaN,NaN
1,3,45,NaN,NaN
1,3,46,NaN,NaN
1,3,47,NaN,NaN
1,3,48,NaN,NaN
1,3,49,NaN,NaN
1,3,50,NaN,NaN
1,3,51,NaN,NaN
1,3,52,NaN,NaN
1,3,53,NaN,NaN
1,3,54,NaN,NaN
1,3,55,NaN,NaN
1,3,56,NaN,NaN
1,3,57,NaN,NaN
1,3,58,NaN,NaN
1,3,59,NaN,NaN
1,4,0,NaN,NaN
1,4,1,NaN,NaN
1,4,2,NaN,NaN
1,4,3,NaN,NaN
1,4,4,NaN,NaN
1,4,5,NaN,NaN
1,4,6,NaN,NaN
1,4,7,NaN,NaN
1,4,8,NaN,NaN
1,4,9,NaN,NaN
1,4,10,NaN,NaN
1,4,11,NaN,NaN
1,4,12,NaN,NaN
1,4,13,NaN,NaN
1,4,14,NaN,NaN
1,4,15,NaN,NaN
1,4,16,NaN,NaN
1,4,17,NaN,NaN
1,4,18,NaN,NaN
1,4,19,NaN,NaN
1,4,20,NaN,NaN
1,4,21,NaN,NaN
1,4,22,NaN,NaN
1,4,23,NaN,NaN
1,4,24,NaN,NaN
1,4,25,NaN,NaN
1,4,26,NaN,NaN
1,4,27,NaN,NaN
1,4,28,NaN,NaN
1,4,29,NaN,NaN
1,4,30,NaN,NaN
1,4,31,NaN,NaN
1,4,32,NaN,NaN
1,4,33,NaN,NaN
1,4,34,NaN,NaN
1,4,35,NaN,NaN
1,4,36,NaN,NaN
1,4,37,NaN,NaN
1,4,38,NaN,NaN
1,4,39,NaN,NaN
1,4,40,NaN,NaN
1,4,41,NaN,NaN
1,4,42,NaN,NaN
1,4,43,NaN,NaN
1,4,44,NaN,NaN
1,4,45,NaN,NaN
1,4,46,NaN,NaN
1,4,47,NaN,NaN
1,4,48,NaN,NaN
1,4,49,NaN,NaN
1,4,50,NaN,NaN
1,4,51,NaN,NaN
1,4,52,NaN,NaN
1,4,53,NaN,NaN
1,4,54,NaN,NaN
1,4,55,NaN,NaN
1,4,56,NaN,NaN
1,4,57,NaN,NaN
1,4,58,NaN,NaN
1,4,59,NaN,NaN
1,5,0,NaN,NaN
1,5,1,NaN,NaN
1,5,2,NaN,NaN
1,5,3,NaN,NaN
1,5,4,NaN,NaN
1,5,5,NaN,NaN
1,5,6,NaN,NaN
1,5,7,NaN,NaN
1,5,8,NaN,NaN
1,5,9,NaN,NaN
1,5,10,NaN,NaN
1,5,11,NaN,NaN
1,5,12,NaN,NaN
1,5,13,NaN,NaN
1,5,14,NaN,NaN
1,5,15,NaN,NaN
1,5,16,NaN,NaN
1,5,17,NaN,NaN
1,5,18,NaN,NaN
1,5,19,NaN,NaN
1,5,20,NaN,NaN
1,5,21,NaN,NaN
1,5,22,NaN,NaN
1,5,23,NaN,NaN
1,5,24,NaN,NaN
1,5,25,NaN,NaN
1,5,26,NaN,NaN
1,5,27,NaN,NaN
1,5,28,NaN,NaN
1,5,29,NaN,NaN
1,5,30,NaN,NaN
1,5,31,NaN,NaN
1,5,32,NaN,NaN
1,5,33,NaN,NaN
1,5,34,NaN,NaN
1,5,35,NaN,NaN
1,5,36,NaN,NaN
1,5,37,NaN,NaN
1,5,38,NaN,NaN
1,5,39,NaN,NaN
1,5,40,NaN,NaN
1,5,41,NaN,NaN
1,5,42,NaN,NaN
1,5,43,NaN,NaN
1,5,44,NaN,NaN
1,5,45,NaN,NaN
1,5,46,NaN,NaN
1,5,47,NaN,NaN
1,5,48,NaN,NaN
1,5,49,NaN,NaN
1,5,50,NaN,NaN
1,5,51,NaN,NaN
1,5,52,NaN,NaN
1,5,53,NaN,NaN
1,5,54,NaN,NaN
1,5,55,NaN,NaN
1,5,56,NaN,NaN
1,5,57,NaN,NaN
