Phaseshift,CT,Genotype
-0.58733, CT0, Npas4++
0.05611, CT0, Npas4++
0.16926, CT0, Npas4++
0.2896, CT0, Npas4++
0.76442, CT0, Npas4++
1.0224, CT0, Npas4++
1.0409, CT0, Npas4++
1.2434, CT0, Npas4++
1.2889, CT0, Npas4++
1.6597, CT0, Npas4++
1.6749, CT0, Npas4++
1.7222, CT0, Npas4++
1.7581, CT0, Npas4++
2.0352, CT0, Npas4++
2.2401, CT0, Npas4++
2.3824, CT0, Npas4++
2.6945, CT0, Npas4++
3.0457, CT0, Npas4++
3.1535, CT0, Npas4++
3.6612, CT0, Npas4++
3.6882, CT0, Npas4++
4.3652, CT0, Npas4++
-0.9556, CT3, Npas4++
-0.53777, CT3, Npas4++
-0.36262, CT3, Npas4++
0.00482, CT3, Npas4++
0.23065, CT3, Npas4++
0.34147, CT3, Npas4++
0.35763, CT3, Npas4++
0.98865, CT3, Npas4++
1.5266, CT3, Npas4++
3.2504, CT3, Npas4++
1.95197, CT3, Npas4++
-0.16666, CT3, Npas4++
0.5971, CT3, Npas4++
-0.13237, CT3, Npas4++
1.6728, CT3, Npas4++
0.83953, CT3, Npas4++
0.0604, CT3, Npas4++
-0.21901, CT3, Npas4++
1.44947, CT3, Npas4++
-0.38039, CT3, Npas4++
-0.59323, CT3, Npas4++
1.73286, CT3, Npas4++
-1.1584, CT6, Npas4++
-1.1042, CT6, Npas4++
-1.0502, CT6, Npas4++
-0.59599, CT6, Npas4++
-0.49506, CT6, Npas4++
-0.30818, CT6, Npas4++
-0.20068, CT6, Npas4++
-0.13373, CT6, Npas4++
0.12346, CT6, Npas4++
0.16291, CT6, Npas4++
0.53769, CT6, Npas4++
1.3936, CT6, Npas4++
0.31717, CT6, Npas4++
-1.21522, CT6, Npas4++
-0.34658, CT6, Npas4++
-1.17804, CT6, Npas4++
-1.10751, CT6, Npas4++
-1.1719, CT6, Npas4++
-0.43016, CT6, Npas4++
-0.91891, CT6, Npas4++
0.42702, CT6, Npas4++
0.43104, CT6, Npas4++
-2.849, CT9, Npas4++
-2.429, CT9, Npas4++
-2.2305, CT9, Npas4++
-1.9462, CT9, Npas4++
-1.8161, CT9, Npas4++
-1.7786, CT9, Npas4++
-1.6711, CT9, Npas4++
-1.4468, CT9, Npas4++
-1.4371, CT9, Npas4++
-1.3069, CT9, Npas4++
-0.53932, CT9, Npas4++
-2.48013, CT9, Npas4++
-0.58169, CT9, Npas4++
-1.0365, CT9, Npas4++
-2.81709, CT9, Npas4++
-2.89439, CT9, Npas4++
-2.40639, CT9, Npas4++
-1.29895, CT9, Npas4++
-2.19548, CT9, Npas4++
-1.68674, CT9, Npas4++
-2.49011, CT9, Npas4++
-1.99538, CT9, Npas4++
-5.2221, CT12, Npas4++
-4.8256, CT12, Npas4++
-3.8452, CT12, Npas4++
-3.763, CT12, Npas4++
-3.3442, CT12, Npas4++
-3.2671, CT12, Npas4++
-3.1755, CT12, Npas4++
-2.9104, CT12, Npas4++
-2.9013, CT12, Npas4++
-2.7561, CT12, Npas4++
-2.5953, CT12, Npas4++
-2.3157, CT12, Npas4++
-2.1182, CT12, Npas4++
-1.7778, CT12, Npas4++
-2.15566, CT12, Npas4++
-3.60212, CT12, Npas4++
-3.87502, CT12, Npas4++
-2.11157, CT12, Npas4++
-2.22547, CT12, Npas4++
-2.75757, CT12, Npas4++
-3.76756, CT12, Npas4++
-4.07651, CT12, Npas4++
-5.6299, CT15, Npas4++
-4.932, CT15, Npas4++
-4.8115, CT15, Npas4++
-4.7436, CT15, Npas4++
-4.7382, CT15, Npas4++
-4.7163, CT15, Npas4++
-4.525, CT15, Npas4++
-4.5115, CT15, Npas4++
-4.4725, CT15, Npas4++
-4.4625, CT15, Npas4++
-4.44, CT15, Npas4++
-3.5715, CT15, Npas4++
-3.5473, CT15, Npas4++
-3.4186, CT15, Npas4++
-3.0426, CT15, Npas4++
-2.9804, CT15, Npas4++
-2.9101, CT15, Npas4++
-2.0389, CT15, Npas4++
-1.623, CT15, Npas4++
-1.2871, CT15, Npas4++
-4.89064, CT15, Npas4++
-3.09224, CT15, Npas4++
-5.8917, CT18, Npas4++
-5.5559, CT18, Npas4++
-5.1021, CT18, Npas4++
-4.9967, CT18, Npas4++
-3.3996, CT18, Npas4++
-1.6398, CT18, Npas4++
-1.5982, CT18, Npas4++
-1.1336, CT18, Npas4++
-0.82738, CT18, Npas4++
-0.40665, CT18, Npas4++
-0.39224, CT18, Npas4++
-0.30525, CT18, Npas4++
-0.19768, CT18, Npas4++
0.43006, CT18, Npas4++
0.98862, CT18, Npas4++
1.3889, CT18, Npas4++
1.5144, CT18, Npas4++
2.3175, CT18, Npas4++
2.442, CT18, Npas4++
2.7539, CT18, Npas4++
3.7175, CT18, Npas4++
-3.14981, CT18, Npas4++
0.44079, CT21, Npas4++
0.47126, CT21, Npas4++
1.0382, CT21, Npas4++
1.0778, CT21, Npas4++
1.3316, CT21, Npas4++
1.5884, CT21, Npas4++
1.7501, CT21, Npas4++
1.7767, CT21, Npas4++
2.1696, CT21, Npas4++
2.2156, CT21, Npas4++
2.2384, CT21, Npas4++
2.4513, CT21, Npas4++
2.5818, CT21, Npas4++
3.144, CT21, Npas4++
3.485, CT21, Npas4++
4.2608, CT21, Npas4++
4.967, CT21, Npas4++
2.13085, CT21, Npas4++
1.87214, CT21, Npas4++
1.3893, CT21, Npas4++
2.46509, CT21, Npas4++
1.01854, CT21, Npas4++
-0.92362, CT0, Npas4--
-0.51291, CT0, Npas4--
-0.23184, CT0, Npas4--
-0.51025, CT0, Npas4--
-0.80201, CT0, Npas4--
1.37002, CT0, Npas4--
-0.32646, CT0, Npas4--
-0.25134, CT0, Npas4--
-0.38201, CT0, Npas4--
0.00734, CT0, Npas4--
0.77785, CT0, Npas4--
0.01854, CT0, Npas4--
-0.82148, CT0, Npas4--
-0.26837, CT0, Npas4--
0.89751, CT0, Npas4--
0.64905, CT0, Npas4--
-0.29575, CT0, Npas4--
0.39013, CT0, Npas4--
-0.80821, CT0, Npas4--
0.2032, CT0, Npas4--
0.88233, CT0, Npas4--
0.54876, CT0, Npas4--
-1.2709, CT3, Npas4--
-0.86655, CT3, Npas4--
-0.00266, CT3, Npas4--
-0.51025, CT3, Npas4--
-0.80201, CT3, Npas4--
1.37002, CT3, Npas4--
-0.32646, CT3, Npas4--
-0.25134, CT3, Npas4--
-0.38201, CT3, Npas4--
0.00734, CT3, Npas4--
0.77785, CT3, Npas4--
